               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097063,            0.029141,                   0,           0.0025055,             0.30287,           0.0019407,          0.00053857,            0.093344,            0.021128,                   0,            0.070043,           0.0033285,           0.0033285
                   1,            0.091276,             0.03052,                   0,            0.058212,             0.13439,            0.025147,           0.0061745,            0.084417,            0.022707,                   0,            0.039977,           0.0065959,           0.0065959
                   2,            0.075202,            0.030763,                   0,             0.33936,             0.29975,             0.23586,             0.07663,            0.067816,            0.021393,                   0,           0.0098454,           0.0097973,           0.0097973
                   3,            0.064667,             0.02901,                   0,             0.45023,             0.34054,             0.30879,              0.1117,            0.063165,            0.019873,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.059922,            0.027848,                   0,             0.48787,               0.423,             0.37195,             0.13825,             0.05826,            0.018989,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.056919,            0.027097,                   0,             0.51405,             0.41565,             0.39557,             0.15674,            0.060225,            0.019067,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.055205,            0.026895,                   0,             0.63812,             0.48184,             0.51325,             0.21187,            0.054443,            0.017614,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.053887,            0.026339,                   0,             0.60391,             0.49744,             0.51679,             0.21857,             0.05371,            0.017568,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.053004,            0.026171,                   0,             0.67312,             0.54379,             0.57656,              0.2488,            0.051327,            0.017428,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.052028,            0.025871,                   0,             0.62631,              0.5121,              0.5334,             0.23634,            0.052075,            0.017356,                   0,            0.009208,            0.009208,            0.009208
                  10,              0.0513,            0.025753,                   0,             0.63845,             0.53798,              0.5594,             0.24744,            0.051776,            0.017034,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.050789,            0.025536,                   0,              0.6404,             0.53354,               0.567,             0.25105,            0.050809,            0.017178,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.050203,              0.0253,                   0,              0.6632,             0.57313,             0.60006,             0.27133,            0.049377,            0.016705,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.049071,             0.02497,                   0,             0.71299,             0.57076,             0.61692,             0.28485,            0.049147,            0.016518,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.049288,            0.025009,                   0,             0.69073,             0.57945,             0.61846,             0.28699,            0.048746,            0.016208,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.048547,            0.024813,                   0,             0.68107,             0.59661,                0.63,             0.29241,            0.048127,            0.016188,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.048307,            0.025074,                   0,             0.69388,             0.59055,             0.63646,             0.30296,             0.04759,            0.016428,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.047655,             0.02464,                   0,             0.69628,             0.60553,             0.64315,             0.30626,            0.046774,            0.016132,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.047692,            0.024961,                   0,             0.72201,             0.60107,             0.66158,             0.31591,            0.046796,            0.015829,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.046951,            0.024516,                   0,             0.73066,             0.61043,             0.66612,             0.32375,            0.046214,             0.01577,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.046996,            0.024367,                   0,             0.73351,             0.62514,             0.68222,             0.33118,            0.045884,            0.015538,                   0,            0.008119,            0.008119,            0.008119
                  21,              0.0468,            0.024434,                   0,             0.72665,             0.62402,             0.68368,             0.32802,            0.045629,            0.015596,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.04628,            0.024243,                   0,              0.7478,             0.63138,             0.68649,             0.33607,            0.045678,            0.015474,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.045878,            0.024006,                   0,             0.72925,             0.63227,             0.68206,             0.34063,            0.045135,            0.015433,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.045551,            0.024058,                   0,             0.74137,             0.64096,             0.69139,              0.3447,            0.044982,            0.015293,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.045675,            0.023937,                   0,             0.73284,             0.64185,             0.69939,             0.35149,            0.044228,            0.015379,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.04507,            0.023952,                   0,             0.74282,             0.63147,              0.6942,             0.34586,             0.04467,            0.015416,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.044821,            0.023858,                   0,             0.73109,             0.65559,             0.70574,             0.35723,            0.043956,            0.015087,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.044609,            0.023937,                   0,             0.74471,             0.65835,             0.70353,             0.35913,            0.043908,            0.015109,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.044707,            0.023799,                   0,             0.73827,             0.66971,             0.70776,             0.35928,            0.043705,            0.015072,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.044417,            0.023787,                   0,             0.74878,             0.66292,             0.71922,             0.36613,            0.043548,            0.014935,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.044439,            0.023562,                   0,             0.75332,             0.66699,             0.71869,             0.36858,            0.043362,            0.014902,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.043636,            0.023611,                   0,             0.75765,             0.66347,             0.72043,             0.37095,            0.043064,            0.014749,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.043435,            0.023358,                   0,             0.76775,             0.67261,             0.72846,             0.37876,            0.042731,            0.014714,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.04393,            0.023721,                   0,             0.76285,             0.68665,             0.73926,             0.38566,            0.042353,            0.014603,                   0,            0.006733,            0.006733,            0.006733
                  35,             0.04365,            0.023443,                   0,             0.77199,             0.67686,             0.73602,             0.38136,            0.042544,             0.01461,                   0,            0.006634,            0.006634,            0.006634
                  36,               0.043,            0.023517,                   0,             0.75948,             0.68334,              0.7398,             0.38745,            0.042166,            0.014631,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.042723,             0.02318,                   0,             0.78052,             0.67818,             0.74273,             0.39226,            0.041876,            0.014469,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.042915,              0.0234,                   0,             0.78115,             0.68598,             0.74661,             0.39099,            0.041846,            0.014483,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.042727,             0.02321,                   0,             0.77129,             0.69294,             0.75076,             0.39827,            0.041276,            0.014427,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.042742,            0.023477,                   0,             0.77233,             0.69334,             0.75119,             0.39695,            0.041379,            0.014404,                   0,            0.006139,            0.006139,            0.006139
